red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
685.0000,618.0000,-37.507961_-11.522105,363.0000,2389.0000,SC-24-Z-C,1921.0000,1119.0000,0.339307695350614,1,140457,SC-24-Z-C-VI
837.0000,806.0000,-37.50832_-11.521387,455.0000,2928.0000,SC-24-Z-C,2544.0000,1485.0000,0.398655545408292,1,140472,SC-24-Z-C-VI
866.5000,864.0000,-37.508679_-11.521746,498.5000,3236.5000,SC-24-Z-C,2205.0000,1256.5000,0.902172510973536,1,140420,SC-24-Z-C-VI
510.0000,544.5000,-37.508679_-11.522464,306.5000,2739.0000,SC-24-Z-C,1331.0000,692.5000,0.591738180593123,1,140469,SC-24-Z-C-VI
410.5000,494.5000,-37.50832_-11.522464,272.0000,1971.5000,SC-24-Z-C,868.0000,433.5000,0.469084846315574,1,140414,SC-24-Z-C-VI
491.0000,521.5000,-37.508679_-11.522823,319.5000,2368.5000,SC-24-Z-C,1165.5000,697.0000,0.985894148391874,1,140408,SC-24-Z-C-VI
659.0000,641.0000,-37.50832_-11.523541,368.0000,2720.0000,SC-24-Z-C,1580.5000,706.0000,0.103579584777616,1,140443,SC-24-Z-C-VI
697.5000,623.0000,-37.509038_-11.523182,385.0000,2165.0000,SC-24-Z-C,2138.0000,1370.0000,0.861605295939678,1,140426,SC-24-Z-C-VI
727.5000,669.0000,-37.509397_-11.522823,405.0000,2508.0000,SC-24-Z-C,2388.5000,1591.5000,0.544688889449059,1,140442,SC-24-Z-C-VI
942.5000,764.5000,-37.509756_-11.522823,458.0000,2393.0000,SC-24-Z-C,2479.5000,1778.5000,0.059881183357450,1,140428,SC-24-Z-C-VI
1271.5000,1196.5000,-37.509756_-11.523182,791.0000,2485.0000,SC-24-Z-C,2469.5000,1796.5000,0.494315730961643,1,140413,SC-24-Z-C-VI
1365.0000,1040.0000,-37.510474_-11.522105,660.0000,2179.0000,SC-24-Z-C,2649.0000,1982.0000,0.430086790144270,1,140450,SC-24-Z-C-VI
1289.0000,1110.0000,-37.509756_-11.522105,774.0000,2485.0000,SC-24-Z-C,2634.0000,1907.0000,0.722232552075202,1,140449,SC-24-Z-C-VI
1290.0000,1180.0000,-37.509756_-11.521746,759.0000,2741.0000,SC-24-Z-C,2612.0000,1955.0000,0.216727235982975,1,140446,SC-24-Z-C-VI
1026.5000,1062.5000,-37.509756_-11.521387,693.0000,2509.5000,SC-24-Z-C,2340.5000,1781.5000,0.236527033850619,1,140436,SC-24-Z-C-VI
1087.5000,867.5000,-37.510115_-11.521387,586.0000,2017.0000,SC-24-Z-C,2411.5000,1744.0000,0.813226918658821,1,140453,SC-24-Z-C-VI
691.5000,621.0000,-37.510474_-11.521387,380.0000,2286.5000,SC-24-Z-C,2049.0000,1316.5000,0.862710186062507,1,140425,SC-24-Z-C-VI
