red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
952.0000,798.0000,-46.658153_-23.485421,644.0000,1364.0000,SF-23-Y-C,1782.0000,1542.0000,0.409720060437289,1,270096,SF-23-Y-C-III
1126.0000,971.5000,-46.658512_-23.480395,712.5000,1827.0000,SF-23-Y-C,2136.0000,1746.0000,0.016788435208631,1,270161,SF-23-Y-C-III
1147.0000,919.0000,-46.655281_-23.483626,624.0000,2076.0000,SF-23-Y-C,2334.0000,1776.0000,0.071958205772364,1,270130,SF-23-Y-C-III
1154.0000,999.0000,-46.648101_-23.477164,753.0000,1619.5000,SF-23-Y-C,1991.0000,1811.5000,0.329315239573503,1,270125,SF-23-Y-C-III
965.0000,837.0000,-46.635536_-23.478959,621.0000,1461.0000,SF-23-Y-C,1918.0000,1661.0000,0.061389419091955,1,270134,SF-23-Y-C-III
922.0000,789.0000,-46.638767_-23.480395,622.0000,1508.0000,SF-23-Y-C,1722.0000,1430.0000,0.101524982532770,1,270099,SF-23-Y-C-III
964.0000,780.0000,-46.640203_-23.493319,544.0000,1632.0000,SF-23-Y-C,1919.0000,1486.0000,0.389799017504687,1,270122,SF-23-Y-C-III
897.0000,852.0000,-46.650614_-23.510192,594.0000,2530.0000,SF-23-Y-C,2076.0000,1300.0000,0.290630071040852,1,35986,SF-23-Y-C-VI
963.0000,852.0000,-46.687591_-23.524911,632.0000,1273.0000,SF-23-Y-C,1554.0000,1372.0000,0.293158601434389,1,35998,SF-23-Y-C-VI
1243.5000,1059.5000,-46.68077_-23.520603,725.5000,2315.5000,SF-23-Y-C,2476.0000,1745.0000,0.338829054580888,1,36240,SF-23-Y-C-VI
1044.0000,940.5000,-46.675385_-23.509833,757.0000,1464.5000,SF-23-Y-C,1592.0000,1476.5000,0.016911554418061,1,36177,SF-23-Y-C-VI
920.0000,875.0000,-46.681488_-23.495473,703.0000,1242.0000,SF-23-Y-C,1604.0000,1433.0000,0.014222583867538,1,270116,SF-23-Y-C-III
1136.5000,966.0000,-46.687232_-23.492242,721.5000,1620.5000,SF-23-Y-C,2216.0000,1810.0000,0.643717362730241,1,270112,SF-23-Y-C-III
912.0000,773.5000,-46.686873_-23.504448,589.5000,1379.5000,SF-23-Y-C,1794.0000,1608.0000,0.917023386984358,1,36056,SF-23-Y-C-VI
875.5000,810.5000,-46.697643_-23.527783,636.5000,1213.0000,SF-23-Y-C,1267.5000,1190.5000,0.439339600770009,1,36044,SF-23-Y-C-VI
787.0000,644.0000,-46.717388_-23.534245,551.0000,1092.0000,SF-23-Y-C,1396.0000,1314.0000,0.334169133925051,1,35991,SF-23-Y-C-VI
